age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
31.0,11,0.0,1.5,0.0,0.0,0.0,1.5,0.0,1.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
23.0,4,5.3,11.3,1.3,3.5,4.0,7.8,3.3,4.8,0.5,3.8,4.3,1.8,0.8,0.3,0.8,2.5,15.0
24.0,2,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
24.0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
25.0,6,4.0,9.8,0.5,2.3,3.5,7.5,3.5,4.3,0.3,1.3,1.5,1.5,0.0,0.0,1.5,2.3,12.0
24.0,3,5.0,10.3,3.0,7.0,2.0,3.3,1.0,1.7,0.7,2.7,3.3,0.7,0.0,0.0,1.7,1.3,14.0
32.0,13,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
23.0,1,2.5,6.0,0.0,0.5,2.5,5.5,0.0,0.0,0.5,1.5,2.0,1.5,1.0,0.5,1.5,1.5,5.0
27.0,9,6.3,13.8,1.8,5.8,4.5,8.0,3.3,3.8,0.0,3.3,3.3,7.3,1.0,0.5,2.3,3.3,17.5
26.0,4,1.0,1.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,2.5
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,3,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0
21.0,2,0.5,1.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.5
28.0,8,0.8,0.8,0.0,0.0,0.8,0.8,0.3,0.5,0.5,1.3,1.8,0.5,0.0,0.3,0.5,0.8,1.8
33.0,12,6.0,15.3,2.7,9.0,3.3,6.3,8.7,9.3,0.7,5.0,5.7,4.3,1.0,0.0,3.3,2.0,23.3
25.0,5,2.5,3.0,0.0,0.0,2.5,3.0,3.0,5.0,2.5,5.5,8.0,0.0,0.0,2.0,0.5,3.5,8.0
